Movie Name,Director,Year,Jump Count,Jump Scare  Rating,Imdb,MPAA Rating,Genre,Month,Budget,Worldwide Gross,Netflix  (US),Duration,Rotten Tomatoes,Language,Country,,,,
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,6.7,R,"Horror, Mystery, Thriller",September,,"$2,193,474",No,100,,,,,,,
Goosebumps,Rob Letterman,2015,10,2.5,6.3,PG,"Adventure, Comedy, Family",October,"$58,000,000","$158,260,952",No,103,,,,,,,
Gothika,Mathieu Kassovitz,2003,16,3.5,5.8,R,"Horror, Mystery, Thriller",November,"$40,000,000","$141,591,324",Yes,98,,,,,,,
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4,6.1,NR,Horror,September,"$100,000","$1,658,053",No,92,,,,,,,
Green Room,Jeremy Saulnier,2015,1,0.5,7,R,"Horror, Music, Thriller",May,"$5,000,000","$3,769,214",Yes,95,,,,,,,
Gremlins,Joe Dante,1984,17,3.5,7.3,PG,"Comedy, Fantasy, Horror",June,"$11,000,000","$153,120,458",No,106,,,,,,,
Halloween,John Carpenter,1978,13,2.5,7.8,R,"Horror, Thriller",October,"$325,000","$47,000,000",No,91,,,,,,,
Halloween,Rob Zombie,2007,9,3,6.1,NR,Horror,August,"$15,000,000","$80,253,908",No,121,,,,,,,
Halloween,David Gordon Green,2018,14,3.5,7.8,R,"Horror, Thriller",October,"$10,000,000","$255,485,178",No,106,,,,,,,
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,5.7,R,"Horror, Thriller",August,"$17,000,000","$55,041,738",No,86,,,,,,,
Halloween II,Rick Rosenthal,1981,8,2,6.5,R,Horror,October,"$2,500,000","$25,533,818",No,92,,,,,,,
Halloween II,Rob Zombie,2009,16,3,4.9,NR,Horror,August,"$15,000,000","$39,421,467",No,119,,,,,,,
Hannibal,Ridley Scott,2001,2,0.5,6.8,R,"Crime, Drama, Thriller",February,"$87,000,000","$351,692,268",No,132,,,,,,,
Hannibal Rising,Peter Webber,2007,0,0,6.2,R,"Adventure, Crime, Drama",February,"$50,000,000","$82,169,884",No,121,,,,,,,
Happy Death Day 2U,Christopher Landon,2019,7,2,6.2,PG-13,"Comedy, Horror, Mystery",February,"$9,000,000","$64,503,067",No,100,,,,,,,
Happy Death Day,Christopher Landon,2017,8,2.5,6.5,PG-13,"Horror, Mystery, Thriller",October,"$4,800,000","$125,479,266",No,96,,,,,,,
Hellboy,Guillermo del Toro,2004,6,1.5,6.8,PG-13,"Action, Adventure, Fantasy",April,"$66,000,000","$99,378,985",No,132,,,,,,,
Hellraiser,Clive Barker,1987,5,2,7,R,"Horror, Thriller",September,"$1,000,000","$14,575,193",No,86,,,,,,,
Here Alone,Rod Blackhurst,2016,2,0.5,5.6,NR,"Drama, Horror, Sci-Fi",May,,"$25,043",Yes,98,,,,,,,
Hereditary,Ari Aster,2018,8,2,7.3,R,"Drama, Horror, Mystery",June,"$10,000,000","$79,336,821",No,127,,,,,,,
Hidden,"Matt Duffer, Ross Duffer",2015,4,1.5,6.4,R,"Horror, Thriller",September,,,No,84,,,,,,,
Hide and Seek,John Polson,2005,16,3.5,6,R,"Drama, Horror, Mystery",January,"$30,000,000","$126,809,881",No,101,,,,,,,
High Tension,Alexandre Aja,2003,8,2.5,6.8,R,Horror,June,"$2,200,000","$6,291,958",No,89,,,,,,,
Holidays,Various Directors,2016,5,2,5.1,NR,"Fantasy, Horror, Mystery",April,,"$55,621",Yes,105,,,,,,,
Hollow Man,Paul Verhoeven,2000,9,2.5,5.8,R,"Action, Horror, Sci-Fi",August,"$95,000,000","$190,213,455",No,119,,,,,,,
Honeymoon,Leigh Janiak,2014,3,0.5,5.7,R,"Horror, Mystery, Thriller",September,"$1,000,000","$24,343",No,87,,,,,,,
Horns,Alexandre Aja,2013,3,0.5,6.5,R,"Crime, Drama, Fantasy",October,,"$3,875,442",No,120,,,,,,,
Hostel,Eli Roth,2005,2,0.5,5.9,R,Horror,January,"$4,800,000","$80,578,934",No,93,,,,,,,
Hounds of Love,Ben Young,2016,0,0,6.5,NR,"Crime, Drama, Thriller",May,,"$234,419",No,108,,,,,,,
Hour of the Wolf,Ingmar Bergman,1968,1,0.5,7.7,NR,"Drama, Horror",April,,,No,90,,,,,,,
House,Steve Miner,1986,11,3,6.2,R,"Comedy, Fantasy, Horror",February,"$3,000,000","$19,444,631",No,93,,,,,,,
House of 1000 Corpses,Rob Zombie,2003,6,2.5,6.1,R,Horror,April,"$7,000,000","$16,829,545",No,105,,,,,,,
